name,role,batting_defense,batting_rotation,batting_boundary,batting_power,batting_spin,batting_fast,batting_swing,batting_bounce,test_ave,odi_ave,t20_ave,test_sr,odi_sr,t20_sr,bowling_type,bowling_bounce,bowling_seam,bowling_swing,bowling_pace,bowling_control,bowling_turn,bowling_variations,age,fitness,fatigue,strain,form,followers,marketability,injury_status,prevmatch
Umran Malik,Bowler,30,35,45,50,30,35,25,30,0,25.5,10.5,0,65.5,110.5,Pace,70,65,60,150,60,0,55,25,85,30,12,60,650000,65,Healthy,09/03/2025
Manish Pandey,Batsman,75,80,75,70,80,70,75,70,26.5,35.5,22.5,60,95.5,130.5,None,0,0,0,0,0,0,0,34,75,35,10,55,950000,60,Healthy,06/03/2025
Shahbaz Ahmed,All-rounder,60,70,70,65,75,60,55,60,0,25.5,18.5,0,85.5,130.5,Finger,55,0,0,85,70,75,65,29,80,35,8,65,480000,60,Healthy,08/03/2025
Sai Kishore,Bowler,40,45,50,45,55,40,35,40,0,0,10.5,0,0,115.5,Finger,60,0,0,85,80,80,70,28,82,30,8,75,250000,55,Healthy,07/03/2025
Suyash Sharma,Bowler,40,45,50,45,55,40,35,40,0,0,10.5,0,0,115.5,Wrist,60,0,0,85,80,80,70,28,82,30,8,75,250000,55,Healthy,07/03/2025
Mukesh Choudhary,Bowler,35,40,45,50,35,40,30,35,0,0,9.5,0,0,110.5,Pace,70,75,75,135,70,0,60,27,80,30,10,65,220000,50,Healthy,09/03/2025
Bhuvneshwar Kumar,Bowler,50,55,55,50,55,60,65,55,22.5,24.5,15.5,55,85.5,130.5,Pace,65,80,85,132,85,0,75,35,75,40,15,65,1800000,70,Healthy,11/03/2025
Nishant Sindhu,All-rounder,60,65,65,60,70,55,50,55,0,0,15.5,0,0,125.5,Finger,55,0,0,82,70,70,60,23,85,25,5,60,150000,50,Healthy,08/03/2025
Kamlesh Nagarkoti,Bowler,40,45,55,60,40,45,35,40,0,22.5,10.5,0,70.5,115.5,Pace,70,70,65,140,65,0,60,25,70,30,20,55,380000,55,Injured,02/03/2025
Lalit Yadav,All-rounder,60,65,70,75,70,60,55,60,0,25.5,18.5,0,85.5,135.5,Finger,60,0,0,85,70,65,60,27,80,35,8,65,250000,55,Healthy,09/03/2025
Sanju Samson,Keeper,65,70,85,90,75,70,65,70,38.5,40.5,32.5,70,105.5,160.5,None,0,0,0,0,0,0,0,30,82,35,8,80,3200000,80,Healthy,12/03/2025
Yashasvi Jaiswal,Batsman,75,80,85,80,75,70,75,75,68.5,55.5,35.5,75,105.5,165.5,None,0,0,0,0,0,0,0,23,88,30,5,90,2800000,85,Healthy,11/03/2025
Riyan Parag,All-rounder,65,70,80,85,75,65,60,65,0,25.5,24.5,0,90.5,145.5,Wrist,50,0,0,80,65,70,65,23,85,30,8,80,950000,75,Healthy,10/03/2025
David Miller,Batsman,70,75,85,90,70,65,60,65,36.5,40.5,30.5,70,105.5,150.5,None,0,0,0,0,0,0,0,35,75,40,10,75,2500000,75,Healthy,09/03/2025
Jitesh Sharma,Keeper,60,65,80,85,70,65,60,65,0,0,25.5,0,0,145.5,None,0,0,0,0,0,0,0,29,82,30,5,75,750000,65,Healthy,10/03/2025
Trent Boult,Bowler,35,40,50,55,35,45,40,40,20.5,25.5,12.5,50,80.5,120.5,Pace,65,75,90,138,85,0,75,35,75,40,12,75,1800000,75,Healthy,12/03/2025
Saurabh Netravalkar,Bowler,35,40,50,55,35,45,40,40,20.5,25.5,12.5,50,80.5,120.5,Pace,65,75,90,138,85,0,75,35,75,40,12,75,1800000,75,Healthy,12/03/2025
Noor Ahmad,Bowler,25,30,35,40,45,30,20,25,0,10.5,7.5,0,60.5,95.5,Wrist,55,0,0,80,75,85,75,20,85,25,5,70,450000,60,Healthy,08/03/2025
Vaibhav Suryavanshi,Batsman,65,70,75,70,70,65,70,65,20,25,20,55,85,165,None,0,0,0,0,0,0,0,17,90,15,0,60,50000,55,Healthy,2025-02-18
Vaibhav Arora,Bowler,30,35,45,50,35,40,30,35,0,0,9.5,0,0,110.5,Pace,65,70,65,135,70,0,60,26,80,30,8,65,220000,50,Healthy,07/03/2025
Akash Madhwal,Bowler,35,40,50,55,40,45,35,40,0,0,10.5,0,0,115.5,Pace,65,70,60,135,75,0,65,30,80,35,8,70,280000,55,Healthy,09/03/2025
Mohammed Azharuddeen,Keeper,60,65,75,80,70,65,60,65,0,0,20.5,0,0,140.5,None,0,0,0,0,0,0,0,27,82,30,5,65,350000,55,Healthy,06/03/2025
Sam Curran,All-rounder,65,70,80,85,70,65,60,65,27.5,32.5,25.5,65,100.5,145.5,Pace,65,70,75,132,75,0,70,27,85,35,10,75,2800000,80,Healthy,11/03/2025
Washington Sundar,All-rounder,60,65,70,65,75,60,55,60,32.5,30.5,18.5,60,90.5,130.5,Finger,60,0,0,85,80,75,65,25,80,35,10,70,950000,65,Healthy,08/03/2025
Reece Topley,Bowler,35,40,45,50,35,45,40,45,0,25.5,12.5,0,70.5,120.5,Pace,80,70,75,135,75,0,65,30,80,35,15,70,580000,65,Healthy,09/03/2025
Jacob Bethell,All-rounder,60,65,75,80,70,60,55,60,0,0,34.5,0,0,155.5,Finger,55,0,0,82,65,70,60,21,85,20,5,65,180000,55,Healthy,07/03/2025
Yudhvir Singh Charak,Bowler,40,45,55,60,40,45,35,40,0,0,10.5,0,0,115.5,Pace,65,70,60,135,65,0,55,25,82,30,8,60,150000,45,Healthy,08/03/2025
Ashutosh Sharma,Batsman,60,65,80,85,70,65,60,65,0,0,22.5,0,0,145.5,None,0,0,0,0,0,0,0,23,85,25,5,75,280000,60,Healthy,10/03/2025
Jagit Singh,Batsman,65,70,75,70,75,65,60,65,0,0,20.5,0,0,140.5,None,0,0,0,0,0,0,0,24,82,25,5,65,220000,55,Healthy,09/03/2025
Gurnoor Brar,Bowler,40,45,50,45,55,40,35,40,0,0,10.5,0,0,115.5,Finger,60,0,0,85,70,75,65,25,82,30,8,65,180000,50,Healthy,07/03/2025
Jonny Bairstow,Keeper,75,80,85,90,75,70,65,70,39.5,47.5,28.5,75,105.5,150.5,None,0,0,0,0,0,0,0,35,75,40,10,70,3200000,80,Healthy,12/03/2025
Darshan Nalkande,Bowler,40,45,55,60,45,50,40,45,0,0,10.5,0,0,115.5,Pace,65,70,65,135,70,0,60,26,80,30,8,65,180000,50,Healthy,08/03/2025
Rilee Rossouw,Batsman,70,75,85,90,75,70,65,70,0,36.5,26.5,0,100.5,155.5,None,0,0,0,0,0,0,0,34,75,35,10,70,850000,65,Healthy,09/03/2025
Arshin Kulkarni,All-rounder,65,70,75,80,70,65,60,65,0,0,18.5,0,0,135.5,Pace,60,65,60,130,65,0,55,19,88,20,5,70,250000,65,Healthy,10/03/2025
Jagadeesha Suchith,Bowler,40,45,50,45,55,40,35,40,0,0,10.5,0,0,115.5,Finger,55,0,0,85,75,75,65,30,80,35,8,65,220000,50,Healthy,07/03/2025
Virat Kohli,Batsman,90,85,85,80,85,80,75,80,48.5,58.5,30.5,60,95.5,145.5,None,0,0,0,0,0,0,0,36,80,40,10,80,240000000,95,Healthy,11/03/2025
Rajat Patidar,Batsman,75,80,80,75,80,70,65,70,42.5,0,35.5,65,0,170.5,None,0,0,0,0,0,0,0,31,80,35,8,75,850000,65,Healthy,10/03/2025
Yuzvendra Chahal,Bowler,30,35,40,35,45,30,25,30,20.5,24.5,15.5,45,60.5,110.5,Wrist,55,0,0,80,85,90,85,34,75,40,12,75,4800000,80,Healthy,12/03/2025
Matheesha Pathirana,Bowler,25,30,40,45,30,35,25,30,0,0,8.5,0,0,110.5,Pace,70,65,70,145,70,0,75,22,85,30,10,80,750000,70,Healthy,09/03/2025
Venkatesh Iyer,All-rounder,65,70,80,85,70,65,60,65,0,35.5,32.5,0,95.5,165.5,Pace,60,60,55,130,65,0,55,29,82,35,8,70,1500000,70,Healthy,11/03/2025
Harpreet Brar,Bowler,45,50,55,50,60,45,40,45,0,0,12.5,0,0,120.5,Finger,60,0,0,85,75,80,70,28,80,35,8,70,380000,55,Healthy,08/03/2025
Abhishek Porel,Keeper,60,65,75,80,70,65,60,65,0,0,20.5,0,0,140.5,None,0,0,0,0,0,0,0,22,85,25,5,70,280000,60,Healthy,10/03/2025
Robin Minz,Keeper,55,60,70,75,65,60,55,60,0,0,15.5,0,0,130.5,None,0,0,0,0,0,0,0,20,85,20,5,60,150000,50,Healthy,06/03/2025
Yash Dayal,Bowler,35,40,50,55,40,45,35,40,0,0,10.5,0,0,115.5,Pace,65,70,75,135,70,0,65,27,80,35,10,70,280000,55,Healthy,09/03/2025
Glenn Phillips,All-rounder,65,70,80,85,75,70,65,70,0,30.5,28.5,0,95.5,170.5,Wrist,55,0,0,80,65,70,65,28,82,35,8,75,1200000,70,Healthy,11/03/2025
Khaleel Ahmed,Bowler,35,40,45,50,35,40,30,35,0,25.5,12.5,0,65.5,120.5,Pace,70,65,70,138,75,0,65,27,80,35,10,70,580000,60,Healthy,08/03/2025
Akeal Hosein,Bowler,45,50,55,50,60,45,40,45,0,25.5,15.5,0,70.5,125.5,Finger,60,0,0,85,80,80,75,30,80,35,8,75,650000,65,Healthy,09/03/2025
Will Jacks,All-rounder,65,70,85,90,75,70,65,70,0,30.5,28.5,0,95.5,155.5,Finger,50,0,0,80,60,65,60,26,85,30,5,80,950000,70,Healthy,12/03/2025
Fazalhaq Farooqi,Bowler,25,30,35,40,30,35,25,30,0,20.5,10.5,0,60.5,115.5,Pace,65,70,75,135,75,0,65,23,82,30,8,70,380000,60,Healthy,07/03/2025
Shubham Dubey,Batsman,60,65,75,80,70,65,60,65,0,0,18.5,0,0,135.5,None,0,0,0,0,0,0,0,27,80,25,5,65,150000,55,Healthy,08/03/2025
Jamie Overton,All-rounder,55,60,70,75,60,65,60,65,0,25.5,15.5,0,75.5,130.5,Pace,75,70,65,140,70,0,60,30,80,35,10,65,380000,60,Healthy,09/03/2025
Gurjapneet Singh,Bowler,35,40,45,50,35,40,30,35,0,0,9.5,0,0,110.5,Pace,65,70,65,135,65,0,55,25,82,30,8,60,150000,45,Healthy,07/03/2025
Abishek Raghuvarmani,Batsman,65,70,75,70,75,65,60,65,0,0,20.5,0,0,140.5,None,0,0,0,0,0,0,0,24,82,25,5,65,220000,55,Healthy,06/03/2025
Shahrukh Khan,Batsman,60,65,80,85,70,65,60,65,0,25.5,22.5,0,85.5,145.5,None,0,0,0,0,0,0,0,29,80,30,8,70,580000,65,Healthy,10/03/2025
Prerak Mankad,All-rounder,60,65,70,75,70,60,55,60,0,0,18.5,0,0,135.5,Pace,60,65,60,130,65,0,55,30,80,35,8,65,220000,50,Healthy,08/03/2025
Vidwath Kaverappa,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,65,70,65,135,70,0,60,26,82,30,8,65,180000,50,Healthy,07/03/2025
Dewald Brevis,Batsman,70,75,85,90,75,70,65,70,0,30.5,26.5,0,95.5,155.5,Wrist,45,0,0,80,55,60,55,21,85,25,5,80,1200000,75,Healthy,11/03/2025
Ravindra Jadeja,All-rounder,75,80,80,75,85,70,65,70,36.5,30.5,22.5,65,90.5,140.5,Finger,65,0,0,85,85,80,75,35,80,40,12,85,8500000,85,Healthy,12/03/2025
Ruturaj Gaikwad,Batsman,80,85,80,75,85,75,70,75,0,45.5,30.5,0,105.5,145.5,None,0,0,0,0,0,0,0,28,82,35,8,85,2500000,80,Healthy,11/03/2025
Shivam Dube,All-rounder,65,70,85,95,75,60,55,65,0,30.5,25.5,0,95.5,150.5,Pace,60,65,55,130,60,0,50,30,80,35,10,85,1800000,75,Healthy,12/03/2025
MS Dhoni,Keeper,70,75,80,85,75,70,65,70,38.5,50.5,25.5,55,90.5,185.5,None,0,0,0,0,0,0,0,43,70,35,15,75,42000000,95,Healthy,12/03/2025
Arshdeep Singh,Bowler,40,45,50,55,40,45,35,40,0,28.5,15.5,0,75.5,130.5,Pace,65,70,85,135,80,0,75,26,85,35,10,80,1800000,75,Healthy,11/03/2025
Shreyas Iyer,Batsman,75,80,80,75,80,70,65,70,48.5,45.5,28.5,70,95.5,140.5,None,0,0,0,0,0,0,0,30,80,35,10,75,5800000,80,Healthy,10/03/2025
Deepak Hooda,Batsman,65,70,70,75,70,70,65,70,28.5,35.5,22.5,70,95.5,140.5,None,0,0,0,0,0,0,0,30,80,35,10,75,5800000,80,Healthy,10/03/2025
Harshal Patel,Bowler,45,50,60,65,45,50,40,45,0,25.5,15.5,0,80.5,130.5,Pace,60,65,75,132,75,0,80,34,75,40,12,70,1500000,70,Healthy,09/03/2025
Marcus Stoinis,All-rounder,65,70,85,90,70,65,60,65,35.5,40.5,28.5,70,100.5,150.5,Pace,65,70,60,135,70,0,65,35,80,40,10,80,2800000,80,Healthy,12/03/2025
Naman Dhir,Batsman,60,65,75,80,70,65,60,65,0,0,20.5,0,0,140.5,None,0,0,0,0,0,0,0,24,82,25,5,65,220000,55,Healthy,08/03/2025
Devon Conway,Batsman,80,85,80,75,85,75,70,75,54.5,47.5,30.5,65,90.5,140.5,None,0,0,0,0,0,0,0,33,80,35,10,75,1500000,70,Healthy,11/03/2025
Nathan Ellis,Bowler,40,45,55,60,40,45,35,40,0,25.5,15.5,0,70.5,130.5,Pace,65,70,70,138,75,0,75,30,82,35,10,75,580000,65,Healthy,09/03/2025
Adil Rashid,Bowler,45,50,55,50,60,45,40,45,25.5,30.5,15.5,55,75.5,120.5,Wrist,55,0,0,82,85,85,80,37,75,40,12,75,1500000,70,Healthy,12/03/2025
Xavier Bartlett,Bowler,40,45,50,55,40,45,35,40,0,25.5,12.5,0,70.5,125.5,Pace,70,75,75,138,75,0,70,26,82,30,8,70,380000,60,Healthy,10/03/2025
Mayank Dagar,Bowler,45,50,55,50,60,45,40,45,0,0,10.5,0,0,115.5,Finger,55,0,0,82,75,75,70,28,80,35,8,65,280000,55,Healthy,08/03/2025
Rajvardhan Hangargekar,Bowler,40,45,60,65,40,45,35,40,0,0,10.5,0,0,125.5,Pace,70,70,65,140,65,0,60,22,85,25,5,70,380000,60,Healthy,09/03/2025
Upendra Singh Yadav,Keeper,60,65,70,75,70,65,60,65,0,0,20.5,0,0,135.5,None,0,0,0,0,0,0,0,27,82,30,5,65,220000,55,Healthy,07/03/2025
Chetan Sakariya,Bowler,40,45,50,55,40,45,35,40,0,0,12.5,0,0,120.5,Pace,65,70,75,132,75,0,70,26,80,30,8,65,580000,60,Healthy,09/03/2025
Manav Suthar,Bowler,35,40,45,40,50,35,30,35,0,0,9.5,0,0,110.5,Finger,55,0,0,82,70,75,65,22,85,25,5,60,150000,50,Healthy,08/03/2025
Bhanu Pania,Bowler,35,40,45,40,45,35,30,35,0,0,8.5,0,0,105.5,Pace,65,70,65,135,65,0,55,25,82,30,8,60,120000,45,Healthy,07/03/2025
Rishabh Pant,Keeper,70,75,85,90,80,75,70,75,43.5,45.5,28.5,75,105.5,155.5,None,0,0,0,0,0,0,0,27,85,35,15,80,12000000,90,Healthy,12/03/2025
Axar Patel,All-rounder,65,70,75,80,80,65,60,65,25.5,30.5,20.5,60,90.5,140.5,Finger,60,0,0,85,80,80,70,30,82,35,10,80,3200000,80,Healthy,11/03/2025
Tristan Stubbs,Batsman,70,75,80,85,75,70,65,70,0,35.5,28.5,0,95.5,150.5,None,0,0,0,0,0,0,0,24,85,30,5,80,850000,70,Healthy,10/03/2025
Jake Fraser-McGurk,Batsman,65,70,90,95,75,70,65,70,0,40.5,30.5,0,105.5,165.5,None,0,0,0,0,0,0,0,22,88,25,5,85,950000,75,Healthy,11/03/2025
Rahul Chahar,Bowler,40,45,50,45,55,40,35,40,0,20.5,15.5,0,65.5,125.5,Wrist,55,0,0,82,75,80,75,25,82,30,8,65,580000,60,Healthy,09/03/2025
Jofra Archer,Bowler,45,50,60,65,45,50,40,45,0,25.5,15.5,0,70.5,130.5,Pace,80,75,70,145,75,0,70,29,75,35,20,70,2800000,80,Injured,01/03/2025
Rasikh Dar,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,65,70,70,138,65,0,60,25,82,30,8,65,180000,50,Healthy,08/03/2025
Mohit Sharma,Bowler,45,50,55,50,45,50,40,45,0,25.5,15.5,0,70.5,130.5,Pace,65,70,75,135,80,0,75,36,75,40,12,70,850000,65,Healthy,10/03/2025
Mayank Agarwal,Batsman,75,80,75,70,80,70,65,70,41.5,40.5,25.5,65,90.5,135.5,None,0,0,0,0,0,0,0,34,75,35,10,60,1500000,65,Healthy,09/03/2025
Prithvi Shaw,Batsman,70,75,80,85,75,70,65,70,42.5,38.5,25.5,70,95.5,145.5,None,0,0,0,0,0,0,0,25,75,30,10,65,2800000,70,Healthy,08/03/2025
Mitchell Marsh,All-rounder,70,75,85,90,75,70,65,70,34.5,38.5,28.5,70,95.5,150.5,Pace,65,70,60,135,70,0,65,33,80,40,12,80,2500000,80,Healthy,12/03/2025
Nitish Rana,Batsman,70,75,80,85,75,70,65,70,0,35.5,25.5,0,90.5,145.5,Finger,45,0,0,80,55,60,50,30,80,35,8,70,1200000,70,Healthy,09/03/2025
Prasidh Krishna,Bowler,35,40,45,50,35,40,30,35,0,20.5,12.5,0,65.5,120.5,Pace,80,75,70,140,75,0,65,29,75,35,15,65,850000,65,Healthy,10/03/2025
Spencer Johnson,Bowler,35,40,50,55,35,40,30,35,0,0,12.5,0,0,125.5,Pace,75,70,65,145,70,0,65,28,82,30,8,70,380000,60,Healthy,09/03/2025
Chetan Sakariya,Bowler,35,40,50,55,35,40,30,35,0,0,12.5,0,0,125.5,Pace,75,70,65,145,70,0,65,28,82,30,8,70,380000,60,Healthy,09/03/2025
Ishant Sharma,Bowler,45,50,50,45,45,50,40,45,25.5,30.5,15.5,50,75.5,125.5,Pace,75,70,65,135,80,0,70,36,70,40,15,60,1500000,65,Healthy,08/03/2025
Tim David,Batsman,60,65,90,95,70,65,60,65,0,0,28.5,0,0,160.5,None,0,0,0,0,0,0,0,29,85,35,8,80,1800000,75,Healthy,11/03/2025
Brydon Carse,Bowler,40,45,55,60,40,45,35,40,0,20.5,12.5,0,70.5,125.5,Pace,70,75,70,140,70,0,65,28,82,30,8,70,380000,60,Healthy,09/03/2025
M Sidharth,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,65,70,65,135,65,0,60,25,82,30,8,65,180000,50,Healthy,07/03/2025
Matthew Breetzke,Batsman,65,70,80,85,75,70,65,70,0,35.5,25.5,0,90.5,145.5,None,0,0,0,0,0,0,0,25,85,30,5,70,380000,65,Healthy,10/03/2025
KL Rahul,Batsman,85,80,80,75,85,80,75,80,40.5,45.5,28.5,60,90.5,140.5,None,0,0,0,0,0,0,0,32,80,35,10,75,8500000,85,Healthy,11/03/2025
Nicholas Pooran,Keeper,65,70,85,90,75,70,65,70,0,35.5,28.5,0,100.5,155.5,None,0,0,0,0,0,0,0,28,85,35,8,80,2800000,80,Healthy,12/03/2025
Ravi Bishnoi,Bowler,35,40,45,40,50,35,30,35,0,0,12.5,0,0,120.5,Wrist,55,0,0,82,80,75,70,24,75,30,8,80,850000,70,Healthy,10/03/2025
Ayush Badoni,Batsman,65,70,75,80,70,65,60,65,0,0,22.5,0,0,140.5,None,0,0,0,0,0,0,0,25,82,30,5,70,480000,65,Healthy,09/03/2025
Mohsin Khan,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,70,75,75,138,70,0,65,26,82,30,8,70,380000,60,Healthy,08/03/2025
Kuldeep Yadav,Bowler,40,45,50,45,55,40,35,40,25.5,30.5,15.5,50,75.5,125.5,Wrist,55,0,0,82,85,90,85,29,80,35,10,85,3800000,80,Healthy,12/03/2025
Rahul Tripathi,Batsman,70,75,80,85,75,70,65,70,0,35.5,25.5,0,90.5,145.5,None,0,0,0,0,0,0,0,34,75,35,10,70,950000,65,Healthy,09/03/2025
Rachin Ravindra,All-rounder,70,75,80,85,75,70,65,70,48.5,40.5,28.5,70,95.5,145.5,Finger,55,0,0,82,70,75,65,25,85,30,8,85,1800000,80,Healthy,11/03/2025
Shimron Hetmyer,Batsman,65,70,85,90,75,70,65,70,0,35.5,28.5,0,95.5,155.5,None,0,0,0,0,0,0,0,28,82,35,8,75,1500000,75,Healthy,10/03/2025
Avesh Khan,Bowler,35,40,45,50,35,40,30,35,0,25.5,12.5,0,70.5,125.5,Pace,70,75,65,140,70,0,65,27,82,35,10,70,950000,65,Healthy,09/03/2025
Naveen-ul-Haq,Bowler,35,40,45,50,35,40,30,35,0,25.5,15.5,0,70.5,130.5,Pace,65,70,75,135,80,0,75,25,82,35,8,75,650000,65,Healthy,11/03/2025
Atharva Taide,Batsman,65,70,75,70,75,65,60,65,0,0,20.5,0,0,135.5,None,0,0,0,0,0,0,0,24,82,25,5,65,220000,55,Healthy,07/03/2025
Sameer Rizvi,Batsman,60,65,75,80,70,65,60,65,0,0,18.5,0,0,135.5,None,0,0,0,0,0,0,0,23,85,25,5,65,180000,55,Healthy,06/03/2025
Yash Thakur,Bowler,35,40,45,50,35,40,30,35,0,0,10.5,0,0,115.5,Pace,65,70,70,135,70,0,65,26,82,30,8,70,280000,55,Healthy,09/03/2025
